Projeto 1,Desenvolver a primeira fase do projeto,2025-02-15,3,Desenvolvimento,done,true,09:30
Tarefa 2,Revisar documento de requisitos,2025-02-10,4,Documentação,done,true,11:00
Tarefa 3,Implementar melhorias no sistema,2025-03-01,5,Melhorias,done,true,14:45
Tarefa 4,Correção de bugs,2025-01-31,2,Manutenção,done,true,10:15
Projeto 2,Planejamento de novos recursos,2025-02-28,1,Planejamento,todo,false
Tarefa 5,Ajustar layout do site,2025-02-20,3,Design,todo,false
Tarefa 6,Implementar autenticação de dois fatores,2025-02-25,4,Segurança,doing,false
Tarefa 7,Testar integração com API,2025-03-05,3,Testes,done,true,16:00
Tarefa 8,Atualizar documentação técnica,2025-01-30,2,Documentação,done,true,08:45
Tarefa 9,Realizar análise de desempenho,2025-03-10,4,Análise,todo,false
Tarefa 10,Configurar backups automáticos,2025-03-01,5,Infraestrutura,doing,false
Projeto 3,Desenvolver nova funcionalidade de relatórios,2025-03-20,5,Desenvolvimento,todo,false
Tarefa 11,Revisão de código,2025-02-18,3,Revisão,done,true,13:30
Tarefa 12,Planejar sprint de março,2025-02-28,2,Planejamento,todo,false
Tarefa 13,Análise de incidentes,2025-03-15,4,Segurança,doing,false
Tarefa 14,Otimização do banco de dados,2025-03-12,5,Desempenho,doing,false
Tarefa 15,Treinamento de equipe,2025-02-22,2,Recursos Humanos,todo,false
Tarefa 16,Configuração de novos servidores,2025-02-25,4,Infraestrutura,doing,false
Tarefa 17,Análise de feedback de usuários,2025-03-02,3,Análise,todo,false
Tarefa 18,Apresentação de resultados,2025-03-08,5,Gestão,todo,false
Tarefa 19,Realizar auditoria interna,2025-02-27,3,Auditoria,done,true,15:00
Tarefa 20,Preparar relatório final,2025-03-18,5,Documentação,todo,false
Estudar Java,Estudar Java na Udemy,2024-01-28,1,Estudos,doing,true,13:40
